!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Ramaz Shengelia	רמז שנגליה
Ramazan Özcan	רמזאן אוזקאן
Ramba	רמבה
Rambam Health Care Campus	רמב"ם - הקריה הרפואית לבריאות האדם
Ramban	קטגוריה:רמב"ן
Ramban Synagogue	בית כנסת הרמב"ן
Ramblin' Jack Elliott	רמבלינג ג'ק אליוט
Rambo	רמבו
Rambowallpaperkr8.jpg	קובץ:Rambowallpaperkr8.jpg
Rambutan	רמבוטן
Rameh	ראמה
Ramel Bradley	ראמל בראדלי
Ramel Curry	ראמל קארי
Ramen	ראמן
Ramerupt	רמרו
Ramesses	רעמסס
Ramesses I	רעמסס הראשון
Ramesses II	רעמסס השני
Ramesses III	רעמסס השלישי
Ramesses IX	רעמסס התשיעי
Ramesseum	רעמסאום
Rami Abba	רמי בר אבא
Rami Bar-Niv	רמי בר-ניב
Rami Duani	רמי דואני
Rami Fortis	רמי פורטיס
Rami George Khouri	ראמי ג'ורג' ח'ורי
Rami Gershon	רמי גרשון
Rami Hamdallah	ראמי חמדאללה
Rami Heuberger	רמי הויברגר
Rami Kleinstein	רמי קלינשטיין
Rami Levy Hashikma Marketing	רמי לוי שיווק השקמה
Rami Makhlouf	ראמי מחלוף
Rami Malek	רמי מאלק
Rami Saari	רמי סערי
Rami Yosifov	רמי יוסיפוב
Rami Zur	רמי צור
Rami bar Hama	רמי בר חמא
Ramires	רמירס
Ramiro I of Aragon	מלך אראגון רמירו הראשון
Ramiro II of Aragon	מלך אראגון רמירו השני
Ramiz Jaraisy	ראמז ג'ראיסי
Ramjet	מנוע מגח סילון
Ramla	קטגוריה:רמלה
Ramla	רמלה
Ramla Bay	מפרץ רמלה
Ramla Railway Station	תחנת הרכבת רמלה
Ramla White Mosque	המסגד הלבן
Ramle Al-Haditha	ח'דיתה
Ramle Al-Qubayba	אל-קוביבה
Ramleh Commonwealth War Graves Commission Cemetery	בית הקברות הצבאי הבריטי ברמלה
Rammal Rammal	רמאל רמאל
Rammed earth	אדמה נגוחה
Rammelsberg	מכרות רמלסברג
Rammstein	רמשטיין
Ramon Airbase	בסיס רמון
Ramon Airport	נמל התעופה רמון
Ramon Casas	רמון קאזס
Ramon Dekkers	רמון דקר
Ramon Llull	רמון ליול
Ramon Magsaysay Award	פרס רמון מגסאיסאי
Ramon Sessions	רמון סשנס
Ramon Tikaram	רמון טיקרם
Ramona and Beezus	רמונה וביזוס
Ramone	ראמון
Ramones	הראמונס
Ramos	ראמוס
Ramot HaShavim	רמות השבים
Ramot Mall	קניון רמות
Ramot Meir	רמות מאיר
Ramot Menashe	רמות מנשה
Ramot Naftali	רמות נפתלי
Ramot Polin	רמות פולין
Ramoth-Gilead	רמות גלעד
Rampin Rider	פרש ראמפין
Rampla Juniors	רמפלה ג'וניורס
Ramsar Convention	אמנת ראמסאר
Ramsar sites	קטגוריה:אתרי ראמסאר
Ramsay MacDonald	רמזי מקדונלד
Ramsey	רמזי
Ramsey theory	קטגוריה:תורת רמזי
Ramsey theory	תורת רמזי
Ramsey's theorem	משפט רמזי
Ramstein	רמשטיין
Ramstein Air Base	רמשטיין
Ramstein air show disaster	אסון התצוגה האווירית ברמשטיין
Ramy Ayach	ראמי עייאש
Ramy Ditzanny	רמי דיצני
Ramzan Kadyrov	רמזן קדירוב
Ramzi Safouri	רמזי ספורי
Ramzi Yousef	רמזי יוסף
Ramzor	רמזור
Ramírez	רמירז
Ramón	רמון
Ramón Alberto Villaverde	רמון ויז'וורדה
Ramón Calderé	רמון קלדרה
Ramón Clemente	רמון קלמנטה
Ramón Díaz	רמון דיאס
Ramón Grosso	רמון גרוסו
Ramón Guzmán	רמון גוסמאן
Ramón Martí	ריימונדוס מרטיני
Ramón Medina Bello	רמון מדינה בז'ו
Ramón Rey Ardid	רמון ריי ארדיד
Ramón Sánchez Pizjuán Stadium	אצטדיון רמון סאנצ'ס פיחואן
Ramón Torralba	רמון טורלבה
Ramón Zabalo	רמון סבלו
Ramūnas Šiškauskas	רמונאס שישקאוסקאס
Ran	ראן
Ran	רן
Ran Abukarat	רן אבוקרט
Ran Alterman	רן אלתרמן
Ran Ben Shimon	רן בן שמעון
Ran Cohen	רן כהן
Ran Danker	רן דנקר
Ran Eliran	רן אלירן
Ran Goren	רן גורן
Ran HaCohen	רן הכהן
Ran Itzhak	רן יצחק
Ran Kadoch	רן קדוש
Ran Kojok	רן קוז'וק
Ran Kunik	רן קוניק
Ran Morin	רן מורין
Ran Nakash	רן נקש
Ran Raz	רן רז
Ran Rol	רן רול
Rana Raslan	רנא רסלאן
Ranan Lurie	רענן לוריא
Ranbar	user:Ranbar
Rancagua	רנקגואה
Rance Tidal Power Station	תחנת הכוח לה ראנס
Ranch	חווה חקלאית
Ranches	קטגוריה:חוות
Ranchi	ראנצ'י
Rand	ראנד
Rand	רנד
Rand McNally Building	בניין ראנד מקנלי
Rand Paul	ראנד פול
Rand al'Thor	רנד אל'תור
Randal Cremer	רנדל קרמר
Randall	רנדל
Randall Brenes	רנדאל ברנס
Randall Jarrell	רנדל ג'רל
Randall Munroe	רנדל מונרו
Randall Thompson	רנדל תומסון
Randers FC	רנדרס
Randers FC players	קטגוריה:כדורגלני רנדרס
Randi Zuckerberg	רנדי צוקרברג
Randolph	רנדולף
Randolph Braham	רנדולף ברהם
Random House	רנדום האוס
Random House books	קטגוריה:ספרי רנדום האוס
Random access	גישה ישירה
Random graph	גרף מקרי
Random matrix	מטריצה אקראית
Random oracle	מודל אורקל אקראי
Random variable	משתנה מקרי
Random walk	מהלך אקראי
Random-access memory	זיכרון גישה אקראית
Random2382908/draft atomic physics	פיזיקה אטומית
Randomized algorithm	אלגוריתם אקראי
Randomness	אקראיות
Randomness	קטגוריה:אקראיות
Randy Barnes	רנדי בארנס
Randy Couture	רנדי קוטור
Randy Crawford	רנדי קרופורד
Randy Cunningham: 9th Grade Ninja	רנדי קאנינגהם: נינג'ה בפעולה
Randy Foye	רנדי פוי
Randy Harrison	רנדי הריסון
Randy Johnson	רנדי ג'ונסון
Randy Moss	רנדי מוס
Randy Newman	רנדי ניומן
Randy Orton	רנדי אורטון
Randy Pausch	רנדי פאוש
Randy Quaid	רנדי קווייד
Randy Rhoads	רנדי רודס
Randy Schekman	רנדי שקמן
Randy White	רנדי וייט
Randy Wittman	רנדי ויטמן
Ranen	רנן
Raney nickel	רייני ניקל
Rangaku	ראנגאקו
Range	מנעד
Range Rover Sport	ריינג' רובר ספורט
Range ambiguity resolution	כפילות טווח
Rangekeeper	שולחן בקרת אש
Ranger	דמויות במבוכים ודרקונים
Ranger	ריינג'רס
Ranger 1	ריינג'ר 1
Ranger 2	ריינג'ר 2
Ranger 3	ריינג'ר 3
Ranger 4	ריינג'ר 4
Ranger 5	ריינג'ר 5
Ranger 6	ריינג'ר 6
Ranger 7	ריינג'ר 7
Ranger 8	ריינג'ר 8
Ranger 9	ריינג'ר 9
Ranger program	קטגוריה:תוכנית ריינג'ר
Ranger program	תוכנית ריינג'ר
Rangers F.C.	גלאזגו ריינג'רס
Rangers F.C. managers	קטגוריה:מאמני גלאזגו ריינג'רס
Rangers F.C. players	קטגוריה:כדורגלני גלאזגו ריינג'רס
Rangitoto Island	רנגיטוטו
Rango	רנגו
Rani of Jhansi	רני לאקשמיבאי
Ranibizumab	רניביזומאב
Ranieri de' Calzabigi	רניירי דה קלצאביג'י
Raniero Supremo	משתמש:Raniero Supremo
Rank	דרגה
Rankin	רנקין
Rankine cycle	מעגל רנקין
Rankine scale	מעלות רנקין
Rankine–Hugoniot conditions	משוואות רנקין-הוגוניו
Ranko Matasović	רנקו מטסוביץ'
Ranks and insignia of the Heer	דרגות הוורמאכט
Ranks and insignia of the Waffen-SS	דרגות האס אס
Ranks and rank insignia of the Soviet Armed Forces 1943–1955	דרגות הכוחות המזוינים של ברית המועצות
Ranma ½	ראנמה חצי
Ranoidea	צפרדעים
Ranomi Kromowidjojo	ראנומי קרומווידיויו
Ransom	כופר
Ransomware	תוכנת כופר
Ranulph Fiennes	ראנולף פינז
Ranunculaceae	נוריתיים
Ranunculaceae	קטגוריה:נוריתיים
Ranunculales	נוריתאים
Ranunculales	קטגוריה:נוריתאים
Ranunculus	נורית
Ranunculus asiaticus	נורית אסיה
Raoul Auernheimer	ראול אוארנהיימר
Raoul Dufy	ראול דופי
Raoul Hausmann	ראול האוסמן
Raoul Koczalski	ראול קוצלסקי
Raoul Magrin-Vernerey	ראלף מונקלאר
Raoul Nordling	ראול נורדלינג
Raoul Wallenberg	ראול ולנברג
Raoul Walsh	ראול וולש
Raoult's law	חוק ראול
Rao–Blackwell theorem	משפט ראו-בלקוול
Rap rock	ראפ רוק
Rapa Iti	רפה איטי
Rapa Nui National Park	הפארק הלאומי רפה נוי
Rapa Nui language	רפה נוי
Rapa-Nui	רפה נוי
Rape	אונס
Rape	קטגוריה:אונס
Rape Me	Rape Me
Rape culture	תרבות אונס
Rape of males	אונס גברים
Rapeseed	לפתית
Raphael	רפאל
Raphael Ankawa	רפאל אנקווה
Raphael Berdugo	רפאל בירדוגו
Raphael Cohen	רפאל הכהן כ"ץ
Raphael Cohen-Almagor	רפאל כהן-אלמגור
Raphael David Levine	רפאל לוין
Raphael Evers	רפאל אייפרס
Raphael Hadane	הדנה טקויה
Raphael Holinshed	רפאל הולינסהד
Raphael Holzdeppe	רפאל הולצדפה
Raphael Israeli	רפאל ישראלי
Raphael Kirchheim	רפאל קירכהיים
Raphael Lemkin	רפאל למקין
Raphael Levi Hannover	רפאל לוי
Raphael Mechoulam	רפאל משולם
Raphael Meir Panigel	רפאל מאיר פאניז'ל
Raphael Meldola	רפאל מלדולה
Raphael Meyuchas ben Shmuel	רפאל מיוחס
Raphael Patai	רפאל פטאי
Raphana	רפנה
Raphanus raphanistrum	צנון מצוי
Raphaël Alibert	רפאל אליבר
Raphaël Lépine	רפאל לפין
Raphaël Nadjari	רפאל נג'ארי
Raphaël Poirée	רפאל פוארה
Raphaël Varane	רפאל וראן
Raphi Cohen	רפי כהן
Raphicerus	דוקרן
Raphie Etgar	רפי אתגר
Rapid sequence induction	תהליך הרדמה מהיר
Rapid transit	קטגוריה:רכבות תחתיות
Rapid transit	רכבת תחתית
Rapid transit by country	קטגוריה:רכבות תחתיות לפי מדינה
Rapid transit in Russia	קטגוריה:רוסיה:רכבות תחתיות
Rapid transit in Spain	קטגוריה:ספרד: רכבות תחתיות
Rapid transit in Turkey	קטגוריה:טורקיה: רכבות תחתיות
Rapid transit in Ukraine	קטגוריה:אוקראינה: רכבות תחתיות
Rapid transit in the United States	קטגוריה:ארצות הברית: רכבות תחתיות
Rapid-Wien.png	תמונה:Rapidvienna.jpg
RapidShare	RapidShare
Rapids	אשד
Rapier	רפייר
Rapla County	ראפלה
Rappaport	רפפורט
Rappaport Faculty of Medicine	הפקולטה לרפואה ע"ש רפפורט
Rappen	ראפן שווייצרי
Rappers	קטגוריה:ראפרים
Rappin' 4-Tay	Rappin' 4-Tay
Rapping	ראפ
Rappoport	רפפורט
Raptors 905	ראפטורס 905
Rapture of the Deep	Rapture of the Deep
Rapunzel	פעמונית
Raquel Chalfi	רחל חלפי
Raquel Diaz	שאול גאררו
Raquel Welch	ראקל ולש
Raquel Zimmermann	רקל זימרמן
Rare Earth hypothesis	כדור הארץ הנדיר
Rare earth element	יסודות נדירים
Raritan Bay	מפרץ רריטאן
Rarities	Rarities
Rarotonga	ררוטונגה
Rarotonga International Airport	נמל התעופה הבינלאומי ררוטונגה
Rarámuri people	טאראהומרה
Ras Alula	אלולה אנגדה
Ras Atiya	ראס עטייה
Ras Burqa massacre	הפיגוע בראס בורקה
Ras Dashen	ראס דשן
Ras Karkar	ראס כרכר
Ras Mengesha Yohannes	מנגשה יוהנס
Ras Muhammad National Park	ראס מוחמד
Ras Sedr	ראס סודר
Ras Sudar	ראס סודר
Ras al-Amud	ראס אל-עמוד
Ras al-Ayn	ראס אל-עין
Ras al-Ein	ראס אל-עין
Ras al-Khaimah	ראס אל-ח'ימה
Ras el hanout	ראס אל חנות
Ras subfamily	Ras
Rasad 1	ראסאד 1
Rasagiline	אזילקט
Rasch	רש
Raschèr Saxophone Quartet	רביעיית הסקסופונים ראשר
Rascia	רשקה
Raseiniai	ראסייני
Raseiniai District Municipality	ראסייני
Rash	פריחה
Rashad Khalifa	רשאד ח'ליפה
Rashad Sadygov	רשאד סאדיגוב
Rashad al-Shawwa	רשאד א-שאווה
Rashaida people	רשאידה
Rashard Lewis	רשארד לואיס
Rashash	רש"ש
Rashaya	ראשיא
Rashbam	רשב"ם
Rasheed Wallace	ראשיד וולאס
Rashi	רש"י
Rashi script	כתב רש"י
Rashid Ali al-Gaylani	רשיד עאלי אל-כילאני
Rashid Hussein	ראשד חוסיין
Rashid Karami	רשיד כראמי
Rashid Khalidi	רשיד ח'אלידי
Rashid Masharawi	רשיד משהראווי
Rashid Nurgaliyev	ראשיד נורגאלייב
Rashid Ramzi	רשיד רמזי
Rashid Rida	רשיד רידא
Rashid-al-Din Hamadani	רשיד א-דין המדאני
Rashida Jones	ראשידה ג'ונס
Rashidi Yekini	ראשידי יקיני
Rashidieh	רשידיה
Rashidun Caliphate	ראשידון
Rashidun Caliphs	תבנית:ראשדון
Rashomon	ראשומון
Rashomon	רשומון
Rasht	ראשת
Rashtriya Swayamsevak Sangh	ראשטריה סווג'מסווק סאנג
Raskin	רסקין
Raskol	הרפורמה הדתית ברוסיה
Rasmus Elm	ראסמוס אלם
Rasmus Lerdorf	רזמוס לרדורף
Rasmussen	ראסמוסן
Rasmussen's encephalitis	אנצפליטיס על שם רסמוסן
Raspberry Pi	ראספברי פאי
Rastafari	ראסטפארי
Rastafari movement	קטגוריה:ראסטפארי
Raster graphics	תמונת מפת סיביות
Raster graphics editors	קטגוריה:תוכנות לעיבוד תמונת מפת סיביות
Rasul Gamzatov	רסול גמזטוב
Rasulid dynasty	השושלת הרסולית
Rat	חולדה
Rat Pack	ראט פאק
Rat Park	פארק החולדות
Rat Race	מיליונר מי שגומר ראשון
Rat king	מלך עכברוש
Rat na	ראד נא
Rat-a-Tat Cat	חתחתול
Rata	ראטה
Ratatouille	רטטוי
Ratchet	רעשן
Ratchet & Clank	Ratchet & Clank
Ratchet & Clank	קטגוריה:Ratchet & Clank
Ratchet & Clank Collection	Ratchet & Clank
Ratchet & Clank: Going Commando	Ratchet & Clank: Going Commando
Ratchet & Clank: Size Matters	Ratchet & Clank: Size Matters
Rate equation	משוואת קצב
Rate-of-living theory	קצב לב ותוחלת חיים
Rated A for Awesome	המגניבים
Rated R	Rated R
Rates	ארנונה
Ratfaces Home Videos Presents Useless ID	Ratfaces Home Videos Presents Useless ID
Rathaus Schöneberg	בית עיריית טמפלהוף-שנברג
Rating system of the Royal Navy	קטגוריה:שיטת דירוג האוניות בצי המלכותי הבריטי
Rating system of the Royal Navy	שיטת דירוג האוניות בצי המלכותי הבריטי
Ratio	יחס
Ratio decidendi	רציו דסידנדי
Ration stamp	תלושי מזון
Rational emotive behavior therapy	טיפול רציונלי-אמוטיבי
Rational expectations	ציפיות רציונליות
Rational function	פונקציה רציונלית
Rational mapping	העתקה רציונלית
Rational number	מספר רציונלי
Rationalism	קטגוריה:רציונליזם
Rationalism	רציונליזם
Rationalists	קטגוריה:פילוסופים רציונליסטים
Rationing and Supply Minister of Israel	משרד האספקה והקיצוב
Ratiopharm Ulm	רטיופארם אולם
Ratisbonne Monastery	מנזר רטיסבון
Ratite	יענאים
Ratko Mladić	ראטקו מלאדיץ'
Ratne	רטנה
Ratner	רטנר
Ratniks	ראטניק
Ratonas/sandbox	ג'ט איירווייז
Rattan	ראטאן
Rattle	רעשן לתינוקות
Rattlesnake	עכסנים
Rattner2/sandbox	מאיר מיבר
Ratz	רצ
Ratziti Sheteda	רציתי שתדע
Rauch	ראוך
Rauf Yekta	ראוף יקטה ביי
Raul Geller	ראול גלר
Raul Hilberg	ראול הילברג
Raul Meireles	ראול מייראלש
Raul Rusescu	ראול רוססקו
Raung	ראונג
Rav	רב
Rav Ashi	רב אשי
Rav Assi	רב אסי
Rav Berona	רב ברונא
Rav Chisda	רב חסדא
Rav Ena	רב עינא
Rav Giddel	רב גידל
Rav Huna	רב הונא
Rav Jonah	רבי יונה
Rav Kahana II	רב כהנא
Rav Kahana III	רב כהנא מפום נהרא
Rav Kahana IV	רב כהנא
Rav Karna	קרנא
Rav Mesharshiya	רב משרשיא
Rav Nachman	רב נחמן
Rav Nachman bar Yitzchak	רב נחמן בר יצחק
Rav Papa	רב פפא
Rav Papi	רב פפי
Rav Rahumi III	רב רחומי השלישי
Rav Safra	רב ספרא
Rav Shela	רב שילא
Rav Shizbi	רב שיזבי
Rav Yemar	רב יימר
Rav Yosef Hiyya	רב יוסף
Rav Zeira	רבי זירא
Rav Zevid	רב זביד
Rav-Kav	רב-קו
RavMonE.exe	RavMonE.exe
Rava	רבא
Rava-Ruska	רווה-רוסקה
Ravager	ראבאג'ר
Ravan Baku FC players	קטגוריה:כדורגלני רוואן באקו
Rave	רייב
Raveena Tandon	ראווינה טנדון
Raveh	רווה
Raven	עורב
Raven	רייבן
Raven paradox	פרדוקס העורב
Ravenloft	רייבנלופט
Ravenna	קטגוריה:רוונה
Ravenna	רוונה
Ravenna Festival	פסטיבל ראוונה
Ravens of the Tower of London	העורבים של מצודת לונדון
Ravensbrück concentration camp	קטגוריה:ראוונסבריק
Ravensbrück concentration camp	ראוונסבריק
Ravenswood	רייבנסווד
Ravi Shankar	ראווי שנקר
Ravi Shankar	שרי שרי ראווי שנקר
Ravid	רביד
Ravid Gazal	רביד גזל
Ravina	רבינא
Ravina I	רבינא
Ravina II	רבינא האחרון
Ravine	גיא
Ravinia Festival	פסטיבל רוויניה
Ravioli	רביולי
Raviv	רביב
Raviv Drucker	רביב דרוקר
Raviv Limonad	רביב לימונד
Raviv Ullman	רביב אולמן
Ravshan Irmatov	רוושאן אירמטוב
Raw image format	Raw
Raw meat	בשר נא
Raw veganism	טבעונאות
Rawa Mazowiecka	רווה מזובייצקה
Rawabi	רוואבי
Rawaki Island	ראוואקי
Rawalpindi	רוואלפינדי
Rawat Fort	מבצר רוואט
Rawhi Fattouh	רווחי פתוח
Rawicz	ראביץ'
Ray	ריי
Ray Allen	ריי אלן
Ray Barbuti	ריי ברבוטי
Ray Blanchard	ריי בלנשרד
Ray Bolger	ריי בולג'ר
Ray Bowden	ריי באודן
Ray Bradbury	ריי ברדבורי
Ray Brown	ריי בראון
Ray Charles	ריי צ'ארלס
Ray Clemence	ריי קלמנס
Ray Cooney	ריי קוני
Ray Cooper	ריי קופר
Ray Daniel	ריי דניאל
Ray Donovan	ריי דונובן
Ray Ewry	ריי יורי
Ray Frank	ריי פרנק
Ray Jackendoff	ריי ג'קנדוף
Ray Kennedy	ריי קנדי
Ray Kroc	ריי קרוק
Ray Kurzweil	ריי קורצווייל
Ray LaHood	ריי להוד
Ray LaMontagne	ריי למונטיין
Ray Liotta	ריי ליוטה
Ray Manzarek	ריי מנזרק
Ray Meagher	ריי מאר
Ray Milland	ריי מילאנד
Ray Ozzie	ריי אוזי
Ray Parlour	ריי פארלור
Ray Radlein	משתמש:Ray Radlein
Ray Romano	ריי רומנו
Ray Sharkey	ריי שארקי
Ray Stevenson	ריי סטיבנסון
Ray Tomlinson	ריי טומלינסון
Ray Toro	ריי טורו
Ray Wilkins	ריי וילקינס
Ray William Johnson	ריי ויליאם ג'ונסון
Ray Wilson	ריי וילסון
Ray Winstone	ריי וינסטון
Ray of Light	Ray of Light
Ray tracing	מעקב קרניים
Ray-finned fish	קטגוריה:מקריני סנפיר
Raya	ראיה טורקית
Raya and Sakina	ריא וסכינה
Rayak Air Base	שדה התעופה ריאק
Rayleigh distribution	התפלגות ריילי
Rayleigh fading	דעיכות מסוג ריילי
Rayleigh flow	זרימת ריילי
Rayleigh scattering	פיזור ריילי
Rayleigh–Jeans law	חוק ריילי-ג'ינס
Raymah Governorate	רימה
Rayman	קטגוריה:ריימן
Rayman	ריימן
Rayman 2: The Great Escape	ריימן 2: הבריחה הגדולה
Rayman 3: Hoodlum Havoc	ריימן 3: מהפכת המגה לומים
Rayman Legends	Rayman Legends
Rayman Origins	Rayman Origins
Raymond	ריימונד
Raymond Aron	ריימון ארון
Raymond Blanc	רימון בלאן
Raymond Calvel	רמון קאלבל
Raymond Carver	ריימונד קארבר
Raymond Chandler	ריימונד צ'נדלר
Raymond Chow	ריימונד צ'או
Raymond Cruz	ריימונד קרוז
Raymond Davis Jr.	ריימונד דייוויס ג'וניור
Raymond Domenech	ריימונד דומאנק
Raymond Eddé	ריימונד אדה
Raymond Feist	ריימונד פייסט
Raymond Felton	ריימונד פלטון
Raymond Kopa	ריימונד קופה
Raymond Leppard	ריימונד לפארד
Raymond Loewy	ריימונד לואוי
Raymond Odierno	ריימונד אודיירנו
Raymond Oliver	רמון אוליבר
Raymond Poincaré	רמון פואנקרה
Raymond Priestley	ריימונד פריסטלי
Raymond Smullyan	ריימונד סמוליאן
Raymond Spruance	ריימונד ספרואנס
Raymond Thomas	ריימונד תומאס
Raymond Weil	רמון ויי
Raymond Williams	ריימונד ויליאמס
Raymond Zussman	ריימונד זוסמן
Raymond arritt/Editwar draft	ויקיפדיה:מלחמת עריכה
Raymond of Sabunde	רמון סבונד
Raymond of Tripoli	רמון מטריפולי
Raynald of Châtillon	רנו משטיון
Raynaud's phenomenon	מחלת רנו
Rayner Countdown.jpg	קובץ:Rayner Countdown.jpg
Rayo OKC	ראיו OKC
Rayo Vallecano	ראיו ואיקאנו
Rayo Vallecano footballers	קטגוריה:כדורגלני ראיו ואיקאנו
Rayo Vallecano managers	קטגוריה:מאמני ראיו ואיקאנו
Rayonnant	סגנון גותי קורן
Rays	קטגוריה:בטאים
Raytheon	ריית'און
Raz	רז
Raz Degan	רז דגן
Raz Meirman	רז מאירמן
Raz Zehavi	רז זהבי
Raza Jaffrey	ראזה ג'אפרי
RazakSAT	ראזאקסאט
Razavi Khorasan Province	ח'וראסאן רזאווי
Razer Inc.	Razer
Razgrad	ראזגרד
Razgrad Province	ראזגרד
Razi	ראזי
Razi Barkai	רזי ברקאי
Razia Sultana	רדיה סלטאנה
Raziel	רזיאל
Razlog	רזלוג
Razor	תער
Razorbill	אלקה חדת-מקור
Razorflame	משתמש:Razorflame
Razorlight	רייזורלייט
Razundara Tjikuzu	ראזונדארה טג'יקוזו
Raëlism	ראלים
Raí	ראיי
Raï	ראיי
Raúl	ראול גונזלס
Raúl Alberto Lastiri	ראול אלברטו לסטירי
Raúl Albiol	ראול אלביול
Raúl Alfonsín	ראול אלפונסין
Raúl Bobadilla	ראול בובאדייה
Raúl Castro	ראול קסטרו
Raúl Cubas Grau	ראול קובאס גראו
Raúl García	ראול גרסיה
Raúl Jiménez	ראול חימנס
Raúl Juliá	ראול ג'וליה
Raúl Tamudo	ראול טאמודו
Raül López	ראול לופס
Rașcov	רשקוב
Rdio	Rdio
Rdracr/Dictionary	מילון
Rdracr/Dinosaur	דינוזאורים
Rdracr/WikiAddiction	התמכרות
Re	Re
Re'eh	פרשת ראה
Re'em	ראם
Re'em Ha'Cohen	רא"ם הכהן
Re'im	רעים
ReCAPTCHA	ReCAPTCHA
ReFS	ReFS
ReactOS	ReactOS
Reaction	ריאקציה
Reaction intermediate	חומר ביניים
Reaction rate constant	קבוע קצב
Reactionary	ריאקציה
Reactive armour	שריון ריאקטיבי
Reactive arthritis	דלקת מפרקים ראקטיבית
Reactive centrifugal force	כוח צנטריפוגלי
Reactive hypoglycemia	היפוגליקמיה ראקטיבית
Reactivity	תגובתיות
Read-only memory	זיכרון לקריאה בלבד
Reader's Digest	Reader's Digest
Reader-response criticism	ביקורת תגובת הקורא
Reading	קטגוריה:קריאה
Reading	קריאה
Reading	רדינג
Reading F.C.	רדינג
Reading F.C. managers	קטגוריה:מאמני רדינג
Reading F.C. players	קטגוריה:כדורגלני רדינג
Reading Light	מגדלור תל אביב
Reading Lolita in Tehran	לקרוא את לוליטה בטהרן
Reading Power Station	תחנת הכוח רדינג
Reading and Leeds Festivals	פסטיבל רדינג ולידס
Reading comprehension	הבנת הנקרא
Reading frame	מסגרת קריאה
Ready Go	Ready Go
Ready Player One	שחקן מספר אחת
Ready or Not	Ready or Not
Ready-mix concrete	בטון מובא
Reagan	רייגן
Reagan administration cabinet members	קטגוריה:חברי הקבינט של ארצות הברית בממשל רונלד רייגן
Reagent	מגיב
Real Academia Española	האקדמיה המלכותית הספרדית
Real Betis	ריאל בטיס
Real Betis managers	קטגוריה:מאמני ריאל בטיס
Real Betis players	קטגוריה:כדורגלני ריאל בטיס
Real Humans	בני-אדם אמיתיים
Real Madrid Baloncesto	ריאל מדריד
Real Madrid Baloncesto players	קטגוריה:כדורסלני ריאל מדריד
Real Madrid C.F.	קטגוריה:מועדון הכדורגל ריאל מדריד
Real Madrid C.F.	ריאל מדריד
Real Madrid C.F. managers	קטגוריה:מאמני ריאל מדריד
Real Madrid C.F. players	קטגוריה:כדורגלני ריאל מדריד
Real Madrid Castilla	ריאל מדריד קסטיליה
Real Madrid Castilla footballers	קטגוריה:כדורגלני ריאל מדריד קסטיליה
Real Madrid Castilla managers	קטגוריה:מאמני ריאל מדריד קסטיליה
Real Madrid basketball coaches	קטגוריה:מאמני ריאל מדריד בכדורסל
Real Murcia	ריאל מורסיה
Real Murcia managers	קטגוריה:מאמני ריאל מורסיה
Real Murcia players	קטגוריה:כדורגלני ריאל מורסיה
Real Muthaphuckkin G's	Real Muthaphuckkin G's
Real Oviedo	ריאל אוביידו
Real Oviedo managers	קטגוריה:מאמני ריאל אוביידו
Real Oviedo players	קטגוריה:כדורגלני ריאל אוביידו
Real Salt Lake	ריאל סולט לייק
Real Salt Lake players	קטגוריה:כדורגלני ריאל סולט לייק
Real Sociedad	ריאל סוסיאדד
Real Sociedad footballers	קטגוריה:כדורגלני ריאל סוסיאדד
Real Sociedad managers	קטגוריה:מאמני ריאל סוסיאדד
Real Sportive	ריאל ספורטיב
Real Steel	פלדה אמיתית
Real Tamale United	ריאל טמלה יונייטד
Real Time Streaming Protocol	RTSP
Real Time with Bill Maher	זמן אמיתי עם ביל מאהר
Real Valladolid	ריאל ואיאדוליד
Real Valladolid footballers	קטגוריה:כדורגלני ריאל ואיאדוליד
Real Valladolid managers	קטגוריה:מאמני ריאל ואיאדוליד
Real Zaragoza	ריאל סרגוסה
Real Zaragoza players	קטגוריה:כדורגלני סרגוסה
Real analysis	אנליזה ממשית
Real closed field	שדה סגור ממשית
Real estate	מקרקעין
Real estate	קטגוריה:מקרקעין
Real estate appraisal	שמאות מקרקעין
Real estate bubble	בועת נדל"ן
Real estate investment trust	קרן נדל"ן
Real estate transfer tax	מקרקעין
Real estate valuation	קטגוריה:שמאות מקרקעין
Real line	הישר הממשי
Real number	שדה המספרים הממשיים
Real numbers	קטגוריה:מספרים ממשיים
Real projective space	מרחב פרויקטיבי ממשי
Real property law	קטגוריה:זכויות במקרקעין
Real versus nominal value	ערך ריאלי וערך נקוב
Real wages	שכר ריאלי
Real-time Transport Protocol	Real-time Transport Protocol
Real-time bidding	פרסום בזמן אמת
Real-time computing	מערכת זמן אמת
Real-time gross settlement	RTGS
Real-time marketing	שיווק בזמן אמת
Real-time polymerase chain reaction	Real Time PCR
Real-time strategy	אסטרטגיה בזמן אמת
Real-time strategy video games	קטגוריה:משחקי אסטרטגיה ממוחשבים
Real-time technology	קטגוריה:טכנולוגיית זמן אמת
Real-time testing	בדיקת זמן אמת
Real-valued function	פונקציה ממשית
RealClearPolitics	RealClearPolitics
Realencyclopädie der classischen Altertumswissenschaft	אנציקלופדיה לעולם הקלאסי
Realignment plan	תוכנית ההתכנסות
Realism	קטגוריה:ריאליזם
